StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-30817,Brenda Rope,2009-05-07,BS Chemistry,Industrial Specialties,127
2017-30818,Aguistin Arthur,1992-04-21,BS Applied Physics,Biotechnology: Commercial Physical & Biological Resarch,68
2017-30819,Fidelia Mackelworth,1999-06-04,BA Sociology,Major Pharmaceuticals,25
2017-30820,Tresa Gleader,2009-02-03,BS Computer Engineering,Metal Fabrications,159
2017-30821,Darnall Slaght,2007-01-30,BS Computer Engineering,n/a,79
2017-30822,Lynnelle Finci,2001-10-21,BS Chemistry,Telecommunications Equipment,13
2017-30823,Hurlee Ansty,2001-08-05,BA Sociology,Major Pharmaceuticals,100
2017-30824,Willie Mushawe,2002-10-03,BS Statistics,Finance: Consumer Services,102
2017-30825,Zabrina Creaser,2007-08-26,BS Chemical Engineering,Medical Specialities,27
2017-30826,Tillie Donlon,2008-11-15,BS Computer Science,Medical/Dental Instruments,2
2017-30827,Carny Jost,2009-03-31,BA Communication Arts,n/a,21
2017-30828,Camella Cooch,2004-11-09,BS Chemistry,n/a,44
2017-30829,Hubert Duell,2005-09-03,BA Communication Arts,Real Estate Investment Trusts,78
2017-30830,Natale Sharnock,1993-12-15,BS Applied Physics,n/a,140
2017-30831,Ruben Danilovic,2005-02-16,BS Mathematics,Major Pharmaceuticals,57
2017-30832,Tabbie Endrighi,1992-12-23,BS Applied Physics,Real Estate Investment Trusts,31
2017-30833,Jacynth Broadley,2007-11-21,BS Mathematics,Trucking Freight/Courier Services,56
2017-30834,Ninetta Moncur,2002-08-13,BS Computer Science,Department/Specialty Retail Stores,81
2017-30835,Audre Sey,2007-04-24,BS Applied Physics,n/a,110
2017-30836,Terry Moyce,1994-12-26,BS Chemistry,Clothing/Shoe/Accessory Stores,1
2017-30837,Josephine Gurton,1993-11-24,BA Communication Arts,EDP Services,82
2017-30838,Ross Abramson,1994-12-22,BA Communication Arts,RETAIL: Building Materials,147
2017-30839,Erma Gallifont,1999-12-17,BS Computer Engineering,Multi-Sector Companies,69
2017-30840,Bethena Levis,1998-11-26,BA Communication Arts,Business Services,29
2017-30841,Ezri Macewan,1997-06-25,BS Applied Physics,Restaurants,146
2017-30842,Arlie Lavielle,2010-10-11,BS Statistics,Other Specialty Stores,99
2017-30843,Ewart Labram,1996-03-01,BA Communication Arts,n/a,139
2017-30844,Horton Bakesef,2005-01-23,BS Computer Engineering,Integrated oil Companies,89
2017-30845,Marleen Cuniam,2007-05-09,BS Chemistry,Business Services,28
2017-30846,Calvin Isitt,2001-05-07,BS Computer Science,Power Generation,121
2017-30847,Benito Halloran,2001-05-23,BS Statistics,Computer peripheral equipment,77
2017-30848,Emmi Owthwaite,1992-07-18,BS Mathematics,n/a,89
2017-30849,Francesco McRobbie,1994-09-23,BS Statistics,Professional Services,6
2017-30850,Tomasine Cummins,1995-10-27,BS Computer Engineering,Restaurants,139
2017-30851,Tomasine Quenby,2005-07-30,BS Statistics,n/a,57
2017-30852,Regine Croce,1999-12-09,BS Chemical Engineering,Property-Casualty Insurers,57
2017-30853,Silva Brereton,1998-02-17,BS Applied Physics,n/a,136
2017-30854,Kerri Fairhead,2006-01-21,BA Communication Arts,Telecommunications Equipment,84
2017-30855,Maire Kirsz,1994-11-07,BS Mathematics,Publishing,72
2017-30856,Belia Hutchison,2001-06-03,BS Chemistry,n/a,146
2017-30857,Layton Rosenblath,2002-01-27,BS Applied Physics,Hotels/Resorts,15
2017-30858,Evonne Garie,1992-10-31,BS Chemical Engineering,n/a,123
2017-30859,Sherrie Baddow,1997-12-30,BS Industrial Engineering,Metal Fabrications,150
2017-30860,Patsy Gurnee,2005-06-17,BS Mathematics,Property-Casualty Insurers,95
2017-30861,Bree Larose,1998-03-19,BS Statistics,n/a,149
2017-30862,Anallise Farebrother,2006-02-03,BS Mathematics,Retail: Computer Software & Peripheral Equipment,13
2017-30863,Ariel Dovey,2006-03-05,BS Mathematics,Business Services,152
2017-30864,Issi Botger,2001-02-01,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),20
2017-30865,Ivie Lewsam,1994-01-31,BA Communication Arts,Telecommunications Equipment,51
2017-30866,Kelsey Drinkhall,2001-09-18,BS Chemical Engineering,Advertising,73
2017-30867,Hewet Toothill,2010-05-14,BS Computer Engineering,Other Consumer Services,85
2017-30868,Ignace Records,2000-09-02,BA Sociology,Medical/Nursing Services,52
2017-30869,Guillemette Akker,2008-03-25,BS Computer Science,Marine Transportation,112
2017-30870,Christy Dumini,2002-10-03,BA Sociology,Packaged Foods,36
2017-30871,Estel Dombrell,2006-09-26,BS Mathematics,Industrial Machinery/Components,133
2017-30872,Walther Carnalan,1999-12-01,BS Computer Science,Medical/Dental Instruments,18
2017-30873,Essa Rawnsley,2006-03-31,BS Applied Physics,Telecommunications Equipment,148
2017-30874,Julina Evemy,1997-08-18,BA Communication Arts,Radio And Television Broadcasting And Communications Equipment,31
2017-30875,Ryan Adie,2004-02-15,BS Computer Engineering,Auto Parts:O.E.M.,22
2017-30876,Earvin Loveard,2004-07-17,BA Sociology,n/a,105
2017-30877,Inez Pantin,2001-02-10,BS Computer Engineering,Coal Mining,113
2017-30878,Shirline Matevosian,1992-02-20,BS Chemical Engineering,n/a,138
2017-30879,Theobald Olyff,2005-02-01,BS Computer Science,Movies/Entertainment,94
2017-30880,Herbert Oertzen,2002-06-30,BS Mathematics,Semiconductors,125
2017-30881,Joey MacTerlagh,1992-09-01,BS Computer Science,Other Consumer Services,125
2017-30882,Jessalyn Wing,1999-05-27,BS Computer Science,Industrial Machinery/Components,78
2017-30883,Florrie Briztman,1994-11-05,BS Industrial Engineering,Major Pharmaceuticals,4
2017-30884,Lucita Bodemeaid,2001-02-13,BA Communication Arts,Plastic Products,52
2017-30885,Kenn Jessett,2000-05-13,BA Communication Arts,Major Pharmaceuticals,144
2017-30886,Dell Yanshin,1992-08-07,BA Sociology,Electrical Products,86
2017-30887,Miles Hartas,1997-03-02,BS Mathematics,Real Estate,131
2017-30888,Jocelin Frift,1996-11-29,BS Computer Science,n/a,147
2017-30889,Algernon Mardee,2003-02-23,BS Mathematics,n/a,78
2017-30890,Starlin Narup,1994-08-29,BS Statistics,Hotels/Resorts,158
2017-30891,Sophie Winchcum,1992-11-26,BS Mathematics,Precious Metals,60
2017-30892,Lilith Woolfenden,1997-12-13,BS Computer Engineering,Biotechnology: Laboratory Analytical Instruments,6
2017-30893,Opaline O'Carran,1998-01-04,BS Computer Science,Semiconductors,120
2017-30894,Zollie Bromage,2000-08-18,BS Computer Science,Plastic Products,137
2017-30895,Brigham Kinnane,2001-10-05,BS Applied Physics,Banks,96
2017-30896,Bartlet Benham,2000-05-01,BS Computer Science,Paper,62
2017-30897,Maurizio Ughi,1992-09-11,BS Mathematics,Hospital/Nursing Management,134
2017-30898,Arturo Josofovitz,1993-07-13,BS Computer Engineering,Biotechnology: Electromedical & Electrotherapeutic Apparatus,70
2017-30899,Orton Ekless,2009-05-11,BS Computer Engineering,n/a,146
2017-30900,Eziechiele Sanford,2007-02-21,BS Statistics,Aerospace,150
2017-30901,Cosetta Waugh,1998-05-05,BA Sociology,Oil & Gas Production,79
2017-30902,Tracy Dufore,1998-10-02,BA Sociology,n/a,35
2017-30903,Sabina Kondrat,1993-02-27,BS Applied Physics,Semiconductors,121
2017-30904,Elmira Ianne,1995-01-03,BS Chemistry,n/a,44
2017-30905,Romy Comello,2007-11-09,BS Mathematics,Computer Software: Prepackaged Software,74
2017-30906,Witty Verduin,1995-02-25,BS Applied Physics,n/a,108
2017-30907,Prinz Lehrmann,2010-02-07,BS Applied Physics,n/a,104
2017-30908,Pren Howes,1998-01-23,BS Mathematics,Hospital/Nursing Management,134
2017-30909,Nikolia Josefs,1993-02-11,BA Communication Arts,Auto Manufacturing,143
2017-30910,Dom Mathers,2004-12-04,BS Computer Science,Oil Refining/Marketing,79
2017-30911,Tallulah Dreinan,2005-11-30,BS Chemistry,n/a,100
2017-30912,Jobina Edon,2002-12-30,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),61
2017-30913,Biddie Bauman,2003-10-22,BS Computer Science,Computer Manufacturing,63
2017-30914,Aurelea Vasyaev,2003-04-26,BS Computer Science,Savings Institutions,149
2017-30915,Bunni Gantlett,2004-01-05,BS Applied Physics,Computer Software: Prepackaged Software,82
2017-30916,Timothea Morden,2001-05-01,BS Chemical Engineering,Transportation Services,2
2017-30917,Locke Copland,1994-09-09,BS Mathematics,Major Banks,144
2017-30918,Ahmed Yukhov,2004-06-30,BA Communication Arts,Major Pharmaceuticals,12
2017-30919,Siobhan Hoyte,1997-07-21,BS Chemistry,Major Pharmaceuticals,46
2017-30920,Obadias Struys,1999-08-25,BS Statistics,Investment Bankers/Brokers/Service,40
2017-30921,Geno Boulden,1994-05-24,BS Mathematics,n/a,64
2017-30922,Hermie Fruchon,2003-11-18,BS Applied Physics,Major Pharmaceuticals,19
2017-30923,Lydon Stigger,2005-04-07,BA Communication Arts,n/a,12
2017-30924,Vinni Kelso,2006-06-20,BS Industrial Engineering,Commercial Banks,133
2017-30925,Darci Blaskett,2002-06-22,BS Applied Physics,Consumer Electronics/Appliances,34
2017-30926,Pattin Cinelli,1998-09-10,BS Statistics,Engineering & Construction,88
2017-30927,Amaleta Swynley,1995-09-21,BS Mathematics,Auto Parts:O.E.M.,124
2017-30928,Esme Mitchenson,2005-02-15,BS Statistics,Transportation Services,53
2017-30929,Kermie De la Feld,1992-08-24,BS Industrial Engineering,Telecommunications Equipment,65
2017-30930,Zea Triswell,2009-12-05,BS Applied Physics,Investment Bankers/Brokers/Service,148
2017-30931,Daveen Megarrell,2004-06-01,BS Statistics,Major Banks,2
2017-30932,Ermin Corkitt,2004-01-12,BS Applied Physics,Investment Managers,66
2017-30933,Adoree Meininking,2009-02-13,BS Chemistry,Major Pharmaceuticals,135
2017-30934,Tripp Bogges,2000-04-11,BA Sociology,Major Pharmaceuticals,9
2017-30935,Yoko Dowry,2008-02-05,BS Applied Physics,Major Banks,86
2017-30936,Jacquelyn Alaway,2006-11-12,BS Mathematics,Consumer Electronics/Appliances,31
2017-30937,Conan Chittey,2010-09-30,BS Mathematics,Biotechnology: Commercial Physical & Biological Resarch,71
2017-30938,Robinett Bollis,2002-04-29,BS Statistics,Industrial Machinery/Components,148
2017-30939,Nerti Grief,2005-05-04,BS Statistics,n/a,114
2017-30940,Kaycee Hendin,2008-10-18,BS Mathematics,Telecommunications Equipment,103
2017-30941,Marsiella Maddrell,2010-04-27,BA Sociology,"Computer Software: Programming, Data Processing",84
2017-30942,Freedman Rahl,2010-10-31,BS Computer Engineering,Finance: Consumer Services,92
2017-30943,Auberta Langhorn,1997-06-20,BS Statistics,Major Pharmaceuticals,15
2017-30944,Cherice Kisar,2000-04-12,BA Sociology,n/a,84
2017-30945,Tadd Matczak,1996-03-23,BA Sociology,n/a,72
2017-30946,Townsend Covotti,1997-09-24,BS Statistics,Electronic Components,157
2017-30947,Daisy Leak,1997-10-30,BS Statistics,Major Banks,17
2017-30948,Magdalen Palffrey,1992-05-09,BS Mathematics,Major Banks,64
2017-30949,Arlan Fegan,2008-07-11,BS Applied Physics,Industrial Machinery/Components,10
2017-30950,Lilas Scotchbrook,2004-08-29,BS Applied Physics,Paper,27
2017-30951,Andros Hunston,2003-08-28,BS Chemical Engineering,Packaged Foods,40
2017-30952,Manfred Schrir,2004-07-07,BA Communication Arts,Natural Gas Distribution,64
2017-30953,Niven McIver,2003-05-02,BS Statistics,Metal Fabrications,99
2017-30954,Greggory Weyman,2010-08-10,BA Sociology,Farming/Seeds/Milling,33
2017-30955,Dewitt D'Alwis,2009-08-22,BS Industrial Engineering,Medical/Dental Instruments,112
2017-30956,Leandra Wawer,1999-02-27,BS Computer Science,Major Pharmaceuticals,115
2017-30957,Dana Mell,1997-06-19,BS Mathematics,Major Pharmaceuticals,90
2017-30958,Richmound Andriveaux,2000-04-29,BS Computer Engineering,Electric Utilities: Central,110
2017-30959,Selena Bilam,2002-03-14,BS Industrial Engineering,n/a,104
2017-30960,Giacobo Wheaton,1998-10-26,BS Industrial Engineering,Department/Specialty Retail Stores,148
2017-30961,Cedric Cary,2002-01-17,BS Computer Engineering,Biotechnology: Biological Products (No Diagnostic Substances),23
2017-30962,Fernanda Senechault,2008-09-01,BS Chemical Engineering,Industrial Machinery/Components,77
2017-30963,Alayne Dadd,1994-01-31,BS Industrial Engineering,Biotechnology: Biological Products (No Diagnostic Substances),127
2017-30964,Hermia O'Dennehy,1998-01-11,BS Statistics,Investment Bankers/Brokers/Service,17
2017-30965,Whitney Klesse,1999-06-09,BS Chemical Engineering,Major Banks,90
2017-30966,Jenni Burdett,2010-07-28,BS Computer Engineering,Engineering & Construction,138
2017-30967,Nonnah Delagua,2007-04-01,BS Applied Physics,n/a,91
2017-30968,Keeley Hardesty,1992-04-26,BS Computer Engineering,Semiconductors,2
2017-30969,Willabella Nussii,1994-01-20,BA Communication Arts,Electronic Components,96
2017-30970,Tove Valenta,2006-09-16,BS Chemical Engineering,n/a,114
2017-30971,Ailene Spohr,2006-08-22,BS Industrial Engineering,Movies/Entertainment,21
2017-30972,Anders Minithorpe,2004-07-12,BS Chemistry,Electrical Products,15
2017-30973,Allys Agastina,2006-04-14,BS Mathematics,Steel/Iron Ore,23
2017-30974,Erik Petrelli,2004-05-21,BS Applied Physics,Water Supply,97
2017-30975,Diandra Jobb,1999-07-21,BS Computer Engineering,Major Pharmaceuticals,35
2017-30976,Alfonso Ridpath,2004-07-03,BA Sociology,Major Pharmaceuticals,33
2017-30977,Shoshana Enrdigo,2001-06-02,BS Computer Engineering,Coal Mining,111
2017-30978,Cathrine Danser,1993-11-19,BS Statistics,n/a,82
2017-30979,Cathyleen Coombs,2005-04-07,BA Sociology,Department/Specialty Retail Stores,56
2017-30980,Addison McLorinan,2006-11-16,BA Communication Arts,Industrial Machinery/Components,62
2017-30981,Mildred Heibl,2008-05-15,BS Chemical Engineering,Medical/Dental Instruments,89
2017-30982,Audrie Denk,2000-07-08,BS Mathematics,Major Banks,17
2017-30983,Jamil Lydall,2007-10-05,BS Applied Physics,Telecommunications Equipment,115
2017-30984,Netti Curdell,2007-03-31,BS Mathematics,Real Estate,153
2017-30985,Normy Crust,2007-03-19,BA Communication Arts,Farming/Seeds/Milling,41
2017-30986,Carleton Bril,2003-09-25,BS Chemistry,Metal Fabrications,8
2017-30987,Darnall Ratray,1993-01-04,BS Industrial Engineering,Advertising,5
2017-30988,Arabela Cranham,1999-10-22,BS Mathematics,Marine Transportation,27
2017-30989,Erinn Laurenceau,1993-02-22,BS Statistics,n/a,61
2017-30990,Heindrick Cadogan,2005-11-02,BS Chemical Engineering,n/a,73
2017-30991,Johanna Shills,1996-09-17,BS Mathematics,Major Banks,64
2017-30992,Olia Waine,2005-08-06,BS Mathematics,Packaged Foods,67
2017-30993,Bibby MacCart,1996-09-11,BA Sociology,Newspapers/Magazines,77
2017-30994,Ebenezer Eby,1994-03-24,BA Sociology,Electrical Products,63
2017-30995,Darbee Bigby,1996-07-06,BS Industrial Engineering,Life Insurance,37
2017-30996,Sascha Alexandersson,1994-11-22,BS Mathematics,Department/Specialty Retail Stores,147
2017-30997,Ara Szapiro,2004-05-13,BS Chemistry,n/a,64
2017-30998,Arline Gallehock,2009-01-25,BS Computer Science,Computer Software: Prepackaged Software,52
2017-30999,Benedicta Benez,1994-03-24,BS Mathematics,Major Pharmaceuticals,22
2017-31000,Mervin Fripp,2002-06-17,BS Applied Physics,Real Estate Investment Trusts,78
2017-40001,Debor Asman,1992-08-25,BS Mathematics,Medical/Nursing Services,119
2017-40002,Jen Andreoletti,1994-09-15,BS Applied Physics,Computer Software: Prepackaged Software,109
2017-40003,Judd Slimings,1996-12-21,BS Chemistry,EDP Services,57
2017-40004,Denney Tollady,2000-11-29,BA Communication Arts,n/a,144
2017-40005,Alfie Van der Brugge,1997-02-27,BS Industrial Engineering,Natural Gas Distribution,138
2017-40006,Arlee Stutter,2010-07-27,BS Chemistry,Electronic Components,3
2017-40007,Sly Harrema,2007-06-23,BS Chemistry,Other Consumer Services,122
2017-40008,Hatty Cayton,2002-04-07,BS Computer Engineering,n/a,147
2017-40009,Felic Bucktrout,1996-11-15,BS Chemistry,Business Services,118
2017-40010,Jarrett Garatty,1996-04-20,BS Applied Physics,Biotechnology: Commercial Physical & Biological Resarch,156
2017-40011,Prentiss Baty,1993-05-29,BS Computer Science,Property-Casualty Insurers,148
2017-40012,Jaime McCaskell,2005-06-21,BS Applied Physics,Investment Bankers/Brokers/Service,122
2017-40013,Fabiano Fancutt,1997-11-17,BS Computer Engineering,n/a,4
2017-40014,Hewe Pyford,2007-03-12,BA Sociology,Catalog/Specialty Distribution,91
2017-40015,Eugine Flavelle,2006-06-15,BS Applied Physics,Telecommunications Equipment,109
2017-40016,Terri Kopfen,1993-02-06,BS Chemical Engineering,Major Chemicals,47
2017-40017,Panchito McGaffey,2000-10-15,BS Statistics,Electronic Components,24
2017-40018,Leilah MacVay,2009-01-25,BS Chemistry,Property-Casualty Insurers,40
2017-40019,Ingeberg Willmore,2001-12-26,BS Applied Physics,Major Pharmaceuticals,70
2017-40020,Wolfgang Evans,2007-04-03,BA Communication Arts,Industrial Machinery/Components,59
2017-40021,Moyna Aireton,1999-01-26,BS Applied Physics,n/a,160
2017-40022,Maribel Gossling,2001-02-18,BA Communication Arts,n/a,64
2017-40023,Alexandros Oddy,2005-12-18,BS Applied Physics,Shoe Manufacturing,150
2017-40024,Eugine Goldthorp,2000-11-02,BA Communication Arts,n/a,155
2017-40025,Griffin Waldie,1999-03-26,BS Computer Engineering,Integrated oil Companies,146
2017-40026,Stoddard Abramow,1994-09-15,BS Mathematics,Major Banks,12
2017-40027,Ardyce Kubiczek,1996-06-05,BA Communication Arts,Real Estate Investment Trusts,160
2017-40028,Leontine Willoughby,1998-09-06,BS Mathematics,Shoe Manufacturing,160
2017-40029,Prudy Arnould,2009-10-03,BS Chemical Engineering,n/a,108
2017-40030,Truda D'Agostini,1998-06-29,BS Chemical Engineering,n/a,83
2017-40031,Helge Dotterill,2007-03-19,BS Chemical Engineering,Major Pharmaceuticals,21
2017-40032,Koralle Bourgeois,1996-09-15,BS Mathematics,Biotechnology: In Vitro & In Vivo Diagnostic Substances,142
2017-40033,Madlin Beaufoy,2005-04-05,BS Mathematics,Computer Software: Prepackaged Software,133
2017-40034,Maxwell Treble,1998-12-28,BA Sociology,Major Pharmaceuticals,120
2017-40035,Devan Trodden,2005-01-06,BS Applied Physics,n/a,34
2017-40036,Dael Barrowcliff,2004-08-31,BS Computer Science,Metal Fabrications,148
2017-40037,Nara Yushkin,2002-12-19,BS Computer Science,Real Estate Investment Trusts,11
2017-40038,Jack Longridge,1999-09-27,BS Computer Science,Computer Software: Prepackaged Software,153
2017-40039,Kayne Braniff,1992-09-13,BS Statistics,Industrial Machinery/Components,158
2017-40040,Binnie Echalie,1997-01-27,BS Computer Engineering,Newspapers/Magazines,160
2017-40041,Lyndy Studde,2003-01-13,BS Chemical Engineering,Restaurants,38
2017-40042,Giacinta Mallard,1995-06-20,BS Chemical Engineering,Major Pharmaceuticals,27
2017-40043,Lyndell Enriques,1995-09-16,BS Chemical Engineering,Apparel,82
2017-40044,Beatrice Linch,1992-04-15,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),8
2017-40045,Den Eate,1995-01-17,BS Chemical Engineering,Marine Transportation,8
2017-40046,Felipe Boardman,1992-11-01,BA Sociology,Major Banks,76
2017-40047,Dori Howley,1996-10-25,BS Computer Science,Rental/Leasing Companies,86
2017-40048,Arda Filipczynski,2003-10-31,BS Computer Science,Investment Managers,67
2017-40049,Cherise Stoving,2001-03-23,BS Chemical Engineering,Water Supply,6
2017-40050,Naomi Twell,2006-08-04,BS Statistics,Savings Institutions,159
2017-40051,Keene Peaker,1999-12-30,BS Chemical Engineering,Other Specialty Stores,148
2017-40052,Hadleigh Matches,1995-04-03,BS Computer Engineering,Packaged Foods,63
2017-40053,Jaime Howe,2006-10-23,BS Chemical Engineering,Business Services,18
2017-40054,Dalis Kiln,1993-09-04,BS Applied Physics,Real Estate Investment Trusts,35
2017-40055,Natalya Dinsell,1994-02-26,BS Computer Engineering,Investment Bankers/Brokers/Service,76
2017-40056,Zorine Akker,2010-10-22,BS Computer Engineering,Medical/Dental Instruments,143
2017-40057,Daisi Cottisford,1997-01-24,BA Communication Arts,Major Banks,85
2017-40058,Suki Godilington,1993-02-02,BS Statistics,Oil & Gas Production,46
2017-40059,Hadria Sparwell,1997-09-19,BS Computer Science,Hospital/Nursing Management,126
2017-40060,Yolanthe Pymer,1994-05-22,BS Mathematics,n/a,130
2017-40061,Windham Deniscke,1998-12-14,BS Mathematics,n/a,112
2017-40062,Jeniece Farquarson,1997-10-18,BA Communication Arts,Integrated oil Companies,78
2017-40063,Chancey Yurchishin,1998-02-13,BS Mathematics,Professional Services,65
2017-40064,Whitby Iglesia,2003-12-29,BA Sociology,Major Banks,96
2017-40065,Caleb Dungate,1997-02-14,BS Applied Physics,Military/Government/Technical,138
2017-40066,Lorri Abramov,2001-01-19,BS Industrial Engineering,Industrial Machinery/Components,145
2017-40067,Shelba Siddeley,2008-01-11,BS Chemical Engineering,Other Consumer Services,120
2017-40068,Lamar Marjanski,2002-09-22,BS Computer Engineering,Major Pharmaceuticals,95
2017-40069,Anson Hutcheson,1994-01-07,BS Chemical Engineering,Marine Transportation,19
2017-40070,Arthur Reede,1994-06-15,BS Chemistry,Major Chemicals,74
2017-40071,Nappy Sawter,2005-07-16,BS Chemical Engineering,n/a,19
2017-40072,Eachelle Scholl,1993-09-11,BS Mathematics,Major Banks,50
2017-40073,Lodovico Vere,1998-04-25,BS Chemical Engineering,n/a,74
2017-40074,Morganica Pinnegar,2002-12-09,BS Mathematics,n/a,90
2017-40075,Diego Cecchetelli,1993-10-04,BS Computer Science,Marine Transportation,117
2017-40076,Harland Gannon,2003-12-06,BS Mathematics,Fluid Controls,86
2017-40077,Jocelin Willbourne,1995-01-15,BS Computer Engineering,Medical/Dental Instruments,27
2017-40078,Jorey Sibbs,2010-08-31,BS Applied Physics,Major Banks,73
2017-40079,Golda Bidewel,1993-02-26,BS Mathematics,n/a,77
2017-40080,Samantha Parlett,1995-09-04,BS Industrial Engineering,n/a,85
2017-40081,Deeann Colloby,1999-09-20,BS Mathematics,Advertising,116
2017-40082,Gabriella Bahike,1998-05-16,BS Chemistry,Property-Casualty Insurers,47
2017-40083,Holly Comford,1997-11-01,BS Computer Engineering,n/a,134
2017-40084,Wylma Eastham,1992-07-19,BS Statistics,Rental/Leasing Companies,2
2017-40085,Adda Apfler,2002-03-02,BS Mathematics,Precious Metals,54
2017-40086,Carolyn Parcall,2006-01-11,BS Statistics,n/a,84
2017-40087,Mallorie Bartusek,1996-04-28,BS Chemical Engineering,n/a,158
2017-40088,Mag Pirelli,1998-06-07,BS Statistics,Electric Utilities: Central,95
2017-40089,Katti Litterick,1996-01-27,BS Mathematics,Savings Institutions,91
2017-40090,Maia Puttan,2009-04-25,BS Computer Science,Major Banks,20
2017-40091,Alyosha Donett,2009-09-07,BA Sociology,Computer Software: Prepackaged Software,7
2017-40092,Maris Pottberry,2000-01-04,BS Mathematics,Auto Parts:O.E.M.,96
2017-40093,Cyndi Baggallay,1992-03-28,BS Chemistry,n/a,14
2017-40094,Nobe Voller,1993-03-26,BS Chemical Engineering,"Computer Software: Programming, Data Processing",82
2017-40095,Jana Heasly,2000-06-02,BS Mathematics,Business Services,106
2017-40096,Abramo Worster,1996-05-31,BS Computer Engineering,Biotechnology: Laboratory Analytical Instruments,26
2017-40097,Lacy Simonetti,1992-10-14,BS Chemistry,Life Insurance,61
2017-40098,Lorens Clemmens,2008-04-15,BA Sociology,Finance: Consumer Services,69
2017-40099,Therine Kordes,1998-10-19,BS Chemistry,Radio And Television Broadcasting And Communications Equipment,38
2017-40100,Fredrick Juckes,2005-03-29,BA Sociology,Major Banks,50
2017-40101,Amity Horsted,1996-05-05,BS Computer Engineering,Natural Gas Distribution,93
2017-40102,Angelina Clayal,1999-07-26,BS Computer Engineering,Major Pharmaceuticals,6
2017-40103,Adelle Shoebridge,1993-10-19,BS Computer Engineering,Packaged Foods,145
2017-40104,Brinna Guion,2007-09-29,BS Industrial Engineering,Oil & Gas Production,157
2017-40105,Jody Caillou,2000-12-15,BS Computer Science,Oil & Gas Production,128
2017-40106,Una Denizet,2009-07-02,BS Chemical Engineering,Industrial Specialties,155
2017-40107,Reg Kliemann,2000-11-08,BS Industrial Engineering,Telecommunications Equipment,38
2017-40108,Gwendolyn Edward,2000-11-28,BS Applied Physics,n/a,90
2017-40109,Jacqui Coughan,2002-07-04,BS Chemical Engineering,Specialty Chemicals,73
2017-40110,Damita Reburn,2008-11-01,BS Industrial Engineering,n/a,113
2017-40111,Christine Hagger,2003-05-19,BS Chemical Engineering,Radio And Television Broadcasting And Communications Equipment,117
2017-40112,Carr Carik,2009-10-11,BS Computer Engineering,Natural Gas Distribution,121
2017-40113,Sauveur Pennuzzi,1992-06-25,BS Industrial Engineering,Major Banks,143
2017-40114,Egon Tures,1995-12-15,BS Chemical Engineering,n/a,40
2017-40115,Mallory Grimme,2006-02-20,BS Computer Science,Major Banks,118
2017-40116,Liana Gillison,1995-05-29,BS Chemical Engineering,Specialty Chemicals,110
2017-40117,Noak Chree,2006-03-09,BS Mathematics,Real Estate Investment Trusts,11
2017-40118,Sharla Darnborough,2007-12-06,BS Computer Science,Electric Utilities: Central,9
2017-40119,Henrik Wharin,2006-09-25,BS Industrial Engineering,Environmental Services,51
2017-40120,Cariotta Wringe,1997-03-24,BS Mathematics,"Computer Software: Programming, Data Processing",128
2017-40121,Ag Soames,1996-12-17,BS Computer Science,Homebuilding,33
2017-40122,Dougy Codner,1993-03-11,BS Applied Physics,EDP Services,130
2017-40123,Dore Stegers,2009-06-05,BS Computer Science,Catalog/Specialty Distribution,35
2017-40124,Chen Peto,2007-11-10,BA Communication Arts,Homebuilding,46
2017-40125,Gerald Emmanuel,1993-08-13,BS Industrial Engineering,Business Services,53
2017-40126,Artemus Folkes,2004-05-03,BS Chemical Engineering,Radio And Television Broadcasting And Communications Equipment,58
2017-40127,Lester Shailer,2000-03-09,BS Chemistry,Clothing/Shoe/Accessory Stores,91
2017-40128,Calley Pomphrett,2003-03-24,BS Mathematics,"Computer Software: Programming, Data Processing",69
2017-40129,Drud Bateson,1998-04-27,BA Communication Arts,Major Banks,54
2017-40130,Abagail Gerrens,2001-05-25,BA Sociology,Medical/Nursing Services,64
2017-40131,Lorri Berns,2002-01-31,BA Communication Arts,Homebuilding,146
2017-40132,Davine Toler,1992-11-16,BA Communication Arts,Computer Software: Prepackaged Software,63
2017-40133,Samara Frossell,2005-12-15,BS Computer Science,Specialty Chemicals,121
2017-40134,Brianna Ost,2005-11-16,BS Chemistry,Medical/Dental Instruments,86
2017-40135,Dana Round,2005-09-19,BS Applied Physics,Major Pharmaceuticals,86
2017-40136,Wendi Shildrick,2010-07-29,BS Chemical Engineering,Clothing/Shoe/Accessory Stores,29
2017-40137,Vera Casine,2005-05-22,BS Chemistry,n/a,79
2017-40138,Miguela Matei,1993-01-17,BS Mathematics,Property-Casualty Insurers,57
2017-40139,Truda Idwal Evans,1997-09-25,BS Industrial Engineering,Telecommunications Equipment,84
2017-40140,Andre Banck,1992-08-10,BS Industrial Engineering,Homebuilding,130
2017-40141,Bay Bier,1993-06-01,BS Computer Engineering,Specialty Chemicals,40
2017-40142,Lance Leeves,2009-03-01,BA Sociology,n/a,60
2017-40143,Uriah Prando,1996-08-23,BS Mathematics,n/a,59
2017-40144,Judie Gaudon,1997-11-17,BA Communication Arts,EDP Services,136
