StudNo,CNo,Semester,AcadYear
2017-20850,402,Sum,2016-2017
2017-20452,1136,1st,2014-2015
2017-20714,479,2nd,2016-2017
2017-20912,560,1st,2016-2017
2017-20031,382,Sum,2015-2016
2017-20131,1418,Sum,2017-2018
2017-20889,756,Sum,2014-2015
2017-20351,1527,Sum,2016-2017
2017-20484,1037,Sum,2017-2018
2017-20164,611,2nd,2014-2015
2017-20698,301,Sum,2017-2018
2017-20164,862,1st,2014-2015
2017-20943,185,Sum,2017-2018
2017-20925,1267,1st,2014-2015
2017-20739,1226,1st,2016-2017
2017-20443,862,2nd,2015-2016
2017-20701,1902,1st,2016-2017
2017-20581,1962,Sum,2014-2015
2017-20851,1623,Sum,2014-2015
2017-20386,1638,Sum,2015-2016
2017-20333,1441,2nd,2016-2017
2017-20705,1784,Sum,2016-2017
2017-20186,1064,2nd,2015-2016
2017-20452,59,1st,2017-2018
2017-20432,1471,Sum,2015-2016
2017-20288,1318,2nd,2015-2016
2017-20457,1649,1st,2016-2017
2017-20903,1304,1st,2014-2015
2017-20311,23,2nd,2014-2015
2017-20345,1864,1st,2016-2017
2017-20891,1688,2nd,2016-2017
2017-20098,1440,1st,2017-2018
2017-20362,89,Sum,2014-2015
2017-20559,594,Sum,2014-2015
2017-20173,249,1st,2017-2018
2017-20575,1416,2nd,2017-2018
2017-20443,1433,2nd,2015-2016
2017-20740,977,Sum,2016-2017
2017-20887,271,Sum,2017-2018
2017-20216,1566,1st,2016-2017
2017-20727,1751,Sum,2015-2016
2017-20684,31,2nd,2016-2017
2017-20413,1696,1st,2016-2017
2017-20232,97,Sum,2017-2018
2017-20316,1073,2nd,2014-2015
2017-20557,621,Sum,2016-2017
2017-20682,240,Sum,2016-2017
2017-20887,546,1st,2017-2018
2017-20364,1978,1st,2017-2018
2017-20408,305,2nd,2014-2015
2017-20802,1996,2nd,2015-2016
2017-20959,1874,1st,2016-2017
2017-20497,1720,1st,2014-2015
2017-20752,1845,1st,2014-2015
2017-20097,1446,Sum,2014-2015
2017-20354,323,2nd,2017-2018
2017-20959,224,Sum,2017-2018
2017-20309,391,1st,2015-2016
2017-20238,1531,Sum,2017-2018
2017-20712,17,Sum,2017-2018
2017-20855,1238,Sum,2017-2018
2017-20226,338,1st,2014-2015
2017-20998,1125,Sum,2014-2015
2017-20742,1569,Sum,2017-2018
2017-20460,1033,1st,2015-2016
2017-20205,470,2nd,2015-2016
2017-20541,1826,2nd,2014-2015
2017-20299,1662,Sum,2014-2015
2017-20221,1801,1st,2016-2017
2017-20916,1730,Sum,2015-2016
2017-20366,365,1st,2015-2016
2017-20441,554,Sum,2017-2018
2017-20616,728,1st,2014-2015
2017-20732,734,Sum,2017-2018
2017-20226,411,1st,2017-2018
2017-20171,579,1st,2017-2018
2017-20093,575,Sum,2016-2017
2017-20264,1770,Sum,2015-2016
2017-20863,1782,1st,2017-2018
2017-20877,1363,Sum,2014-2015
2017-20994,125,Sum,2015-2016
2017-20016,1066,Sum,2015-2016
2017-20016,1517,Sum,2016-2017
2017-20524,1729,2nd,2017-2018
2017-20642,1750,Sum,2015-2016
2017-20818,254,1st,2017-2018
2017-20240,188,2nd,2014-2015
2017-20313,1768,Sum,2014-2015
2017-20132,1954,1st,2015-2016
2017-20432,1551,1st,2014-2015
2017-20029,1295,1st,2014-2015
2017-20582,1129,2nd,2014-2015
2017-20958,190,Sum,2014-2015
2017-20222,1901,Sum,2017-2018
2017-20579,803,Sum,2015-2016
2017-20418,75,1st,2014-2015
2017-20107,1250,1st,2017-2018
2017-20837,1562,1st,2016-2017
2017-20503,109,Sum,2016-2017
2017-20882,231,2nd,2017-2018
2017-20268,1035,2nd,2016-2017
2017-20165,748,2nd,2015-2016
2017-20071,1968,2nd,2015-2016
2017-20993,590,1st,2015-2016
2017-20952,1513,2nd,2016-2017
2017-20327,1258,1st,2017-2018
2017-20650,622,Sum,2016-2017
2017-20173,297,2nd,2016-2017
2017-20292,1198,Sum,2017-2018
2017-20012,664,Sum,2017-2018
2017-20270,52,1st,2016-2017
2017-20240,1589,2nd,2015-2016
2017-20592,254,1st,2016-2017
2017-20559,672,Sum,2016-2017
2017-20344,596,2nd,2016-2017
2017-20663,1930,2nd,2016-2017
2017-20411,704,2nd,2015-2016
2017-20839,423,2nd,2014-2015
2017-20497,1431,1st,2014-2015
2017-20333,675,2nd,2016-2017
2017-20091,718,2nd,2014-2015
2017-20932,1836,2nd,2015-2016
2017-20623,868,2nd,2017-2018
2017-20782,281,1st,2016-2017
2017-20029,403,2nd,2014-2015
2017-20039,1547,1st,2017-2018
2017-20878,763,2nd,2014-2015
2017-20236,743,1st,2014-2015
2017-20590,1099,1st,2017-2018
2017-20604,971,Sum,2014-2015
2017-20947,545,2nd,2014-2015
2017-20469,705,2nd,2014-2015
2017-20295,1836,2nd,2015-2016
2017-20193,110,2nd,2017-2018
2017-20117,1508,1st,2015-2016
2017-20282,1608,2nd,2015-2016
2017-20386,1463,1st,2015-2016
2017-20095,1259,2nd,2014-2015
2017-20987,1687,Sum,2016-2017
2017-20632,111,2nd,2014-2015
2017-20541,870,1st,2017-2018
2017-20470,1676,Sum,2014-2015
2017-20619,656,Sum,2016-2017
2017-20616,529,2nd,2014-2015
2017-20010,1652,1st,2014-2015
2017-20627,1579,2nd,2015-2016
2017-20681,164,Sum,2017-2018
2017-20016,1279,1st,2014-2015
2017-20186,1417,Sum,2015-2016
2017-20487,1982,1st,2017-2018
2017-20808,182,Sum,2016-2017
2017-20542,1100,Sum,2017-2018
2017-20635,1466,2nd,2015-2016
2017-20155,1993,Sum,2014-2015
2017-20029,272,1st,2014-2015
2017-20067,658,2nd,2017-2018
2017-20386,1029,1st,2015-2016
2017-20926,818,1st,2016-2017
2017-20949,1184,2nd,2015-2016
2017-20655,1286,2nd,2014-2015
2017-20089,163,2nd,2014-2015
2017-20657,636,2nd,2014-2015
2017-20581,1050,Sum,2015-2016
2017-20448,1595,1st,2014-2015
2017-20015,1275,1st,2014-2015
2017-20350,945,1st,2017-2018
2017-20213,541,2nd,2017-2018
2017-20131,1884,1st,2014-2015
2017-20580,459,Sum,2014-2015
2017-20527,1921,2nd,2015-2016
2017-20340,150,Sum,2014-2015
2017-20074,1084,2nd,2014-2015
2017-20388,1268,1st,2015-2016
2017-20784,628,1st,2016-2017
2017-20565,57,2nd,2015-2016
2017-20460,1013,1st,2014-2015
2017-20044,1746,2nd,2015-2016
2017-20049,1256,2nd,2014-2015
2017-20202,1772,2nd,2014-2015
2017-20266,946,1st,2016-2017
2017-20103,559,2nd,2014-2015
2017-20308,405,2nd,2016-2017
2017-20356,724,1st,2017-2018
2017-20013,1611,1st,2016-2017
2017-20567,674,Sum,2014-2015
2017-20555,899,Sum,2016-2017
2017-20619,1428,Sum,2016-2017
2017-20805,1805,Sum,2014-2015
2017-20101,808,2nd,2016-2017
2017-20344,761,Sum,2017-2018
2017-20272,720,1st,2014-2015
2017-20083,490,Sum,2016-2017
2017-20641,1767,Sum,2015-2016
2017-20991,901,Sum,2016-2017
2017-20202,836,2nd,2016-2017
2017-20236,1748,Sum,2014-2015
2017-20345,1318,2nd,2017-2018
2017-20855,1583,Sum,2017-2018
2017-20321,1017,2nd,2017-2018
2017-20637,1703,1st,2014-2015
2017-20611,814,1st,2015-2016
2017-20793,1586,1st,2015-2016
2017-20242,915,1st,2017-2018
2017-20033,766,2nd,2016-2017
2017-20102,1995,Sum,2014-2015
2017-20060,207,2nd,2017-2018
2017-20888,1284,Sum,2017-2018
2017-20850,1709,1st,2016-2017
2017-20389,1113,2nd,2016-2017
2017-20625,389,Sum,2017-2018
2017-20400,1138,1st,2016-2017
2017-20318,907,1st,2014-2015
2017-20827,1074,Sum,2014-2015
2017-20797,354,Sum,2015-2016
2017-20730,400,1st,2016-2017
2017-20448,1480,Sum,2015-2016
2017-20159,15,1st,2017-2018
2017-20689,986,2nd,2017-2018
2017-20036,1690,1st,2016-2017
2017-20588,842,Sum,2014-2015
2017-20724,1243,Sum,2015-2016
2017-20986,1419,2nd,2014-2015
2017-20822,1477,2nd,2017-2018
2017-20729,1617,1st,2017-2018
2017-20863,782,2nd,2017-2018
2017-20934,118,2nd,2017-2018
2017-20650,835,2nd,2015-2016
2017-20415,950,Sum,2014-2015
2017-20610,841,2nd,2016-2017
2017-20672,1548,1st,2017-2018
2017-20668,1296,2nd,2015-2016
2017-20753,679,Sum,2015-2016
2017-20544,1257,2nd,2017-2018
2017-20137,1714,1st,2017-2018
2017-20204,1915,Sum,2015-2016
2017-20966,1021,2nd,2016-2017
2017-20963,984,Sum,2015-2016
2017-20610,476,Sum,2016-2017
2017-20920,1363,2nd,2016-2017
2017-20754,1766,1st,2017-2018
2017-20245,987,Sum,2015-2016
2017-20630,745,1st,2015-2016
2017-20098,1203,1st,2017-2018
2017-20110,1830,1st,2014-2015
2017-20472,465,2nd,2016-2017
2017-20735,1783,Sum,2014-2015
2017-20955,436,Sum,2015-2016
2017-20469,634,1st,2014-2015
2017-20464,1332,1st,2014-2015
2017-20189,1185,2nd,2017-2018
2017-20566,1876,Sum,2016-2017
2017-20379,1165,1st,2015-2016
2017-20559,1186,1st,2014-2015
2017-20435,1435,Sum,2015-2016
2017-20914,1561,1st,2015-2016
2017-20395,636,Sum,2016-2017
2017-20393,1624,1st,2014-2015
2017-20072,1611,Sum,2017-2018
2017-20621,178,Sum,2014-2015
2017-20136,1108,2nd,2014-2015
2017-20397,526,1st,2016-2017
2017-20247,1408,1st,2017-2018
2017-20800,1703,1st,2014-2015
2017-20922,1491,Sum,2017-2018
2017-20311,453,1st,2015-2016
2017-20781,1742,2nd,2016-2017
2017-20792,1387,2nd,2015-2016
2017-20480,101,1st,2014-2015
2017-20315,898,1st,2014-2015
2017-20467,1415,2nd,2014-2015
2017-20574,1882,1st,2015-2016
2017-20250,341,1st,2015-2016
2017-20234,860,Sum,2017-2018
2017-20405,1960,2nd,2015-2016
2017-20922,1124,1st,2014-2015
2017-20661,954,1st,2014-2015
2017-20348,1227,Sum,2016-2017
2017-20192,1201,Sum,2016-2017
2017-20937,1613,2nd,2017-2018
2017-20568,242,1st,2016-2017
2017-20029,1520,1st,2017-2018
2017-20123,2000,Sum,2014-2015
2017-20327,1857,Sum,2014-2015
2017-20440,1869,1st,2016-2017
2017-20228,1240,2nd,2014-2015
2017-20940,28,2nd,2017-2018
2017-20920,1347,2nd,2016-2017
2017-20412,136,1st,2014-2015
2017-20634,324,2nd,2017-2018
2017-20212,1769,1st,2015-2016
2017-20185,1868,1st,2017-2018
2017-20458,773,2nd,2014-2015
2017-20310,1964,Sum,2015-2016
2017-20625,154,Sum,2016-2017
2017-20957,400,Sum,2016-2017
2017-20483,693,2nd,2017-2018
2017-20998,883,2nd,2016-2017
2017-20228,1835,2nd,2016-2017
2017-20182,917,1st,2014-2015
2017-20443,305,2nd,2016-2017
2017-20424,479,1st,2017-2018
2017-20323,165,1st,2015-2016
2017-20034,1245,2nd,2014-2015
2017-20104,706,2nd,2014-2015
2017-20602,1296,1st,2015-2016
2017-20859,1511,2nd,2015-2016
2017-20657,910,2nd,2014-2015
2017-20561,1570,1st,2015-2016
2017-20434,601,Sum,2015-2016
2017-20196,407,Sum,2014-2015
2017-20915,848,Sum,2017-2018
2017-20448,873,1st,2014-2015
2017-20726,615,1st,2014-2015
2017-20874,761,Sum,2017-2018
2017-20598,247,2nd,2014-2015
2017-20655,929,1st,2017-2018
2017-20463,390,2nd,2017-2018
2017-20885,751,2nd,2017-2018
2017-20842,1395,1st,2017-2018
2017-20235,1499,Sum,2017-2018
2017-20566,704,1st,2015-2016
2017-20779,985,Sum,2017-2018
2017-20488,1661,Sum,2016-2017
2017-20503,769,2nd,2014-2015
2017-20103,939,Sum,2014-2015
2017-20882,805,Sum,2014-2015
2017-20536,1896,2nd,2017-2018
2017-20037,1429,Sum,2016-2017
2017-20380,274,1st,2017-2018
2017-20309,1987,Sum,2017-2018
2017-20378,1995,1st,2014-2015
2017-20009,1577,1st,2017-2018
2017-20089,1970,Sum,2016-2017
2017-20008,76,2nd,2016-2017
2017-20613,256,2nd,2016-2017
2017-20205,1331,Sum,2015-2016
2017-20904,1635,Sum,2015-2016
2017-20100,1338,Sum,2014-2015
2017-20712,789,Sum,2015-2016
2017-20319,373,2nd,2017-2018
2017-20020,788,1st,2014-2015
2017-20028,1380,Sum,2014-2015
2017-20975,404,Sum,2016-2017
2017-20131,39,1st,2014-2015
2017-20469,1501,1st,2017-2018
2017-20741,1,Sum,2017-2018
2017-20316,1417,1st,2014-2015
2017-20060,1595,Sum,2014-2015
2017-20851,1267,Sum,2016-2017
2017-20810,860,1st,2017-2018
2017-20299,1829,Sum,2014-2015
2017-20312,987,1st,2015-2016
2017-20128,677,Sum,2016-2017
2017-20411,727,2nd,2014-2015
2017-20643,28,2nd,2014-2015
2017-20224,1321,Sum,2017-2018
2017-20498,41,Sum,2016-2017
2017-20401,1880,Sum,2017-2018
2017-20408,458,2nd,2015-2016
2017-20273,1869,2nd,2017-2018
2017-20420,3,1st,2014-2015
2017-20709,152,Sum,2016-2017
2017-20842,900,2nd,2015-2016
2017-20799,1660,Sum,2017-2018
2017-20456,875,2nd,2014-2015
2017-20589,1982,2nd,2016-2017
2017-20447,1460,Sum,2016-2017
2017-20851,1403,1st,2017-2018
2017-20854,1695,2nd,2017-2018
2017-20925,1341,2nd,2015-2016
2017-20810,260,2nd,2014-2015
2017-20989,98,1st,2015-2016
2017-20149,948,Sum,2016-2017
2017-20454,547,2nd,2016-2017
2017-20047,926,2nd,2016-2017
2017-20570,1022,2nd,2014-2015
2017-20595,1486,2nd,2016-2017
2017-20999,1788,1st,2016-2017
2017-20775,435,2nd,2016-2017
2017-20709,768,1st,2017-2018
2017-20891,144,1st,2016-2017
2017-20902,1522,1st,2017-2018
2017-20584,1682,Sum,2014-2015
2017-20822,915,1st,2017-2018
2017-20330,1032,Sum,2016-2017
2017-20763,601,1st,2017-2018
2017-20280,838,2nd,2016-2017
2017-20610,1012,1st,2016-2017
2017-20648,775,2nd,2015-2016
2017-20588,188,1st,2017-2018
2017-20860,1220,Sum,2017-2018
2017-20282,1784,2nd,2015-2016
2017-20725,133,2nd,2017-2018
2017-20764,1614,1st,2017-2018
2017-20558,1653,2nd,2016-2017
2017-20567,1488,Sum,2014-2015
2017-20802,748,Sum,2016-2017
2017-20510,1344,2nd,2015-2016
2017-20961,833,1st,2017-2018
2017-20155,963,2nd,2014-2015
2017-20953,467,Sum,2017-2018
2017-20581,1445,Sum,2016-2017
2017-20363,1099,1st,2017-2018
2017-20768,983,Sum,2016-2017
2017-20305,871,1st,2017-2018
2017-20140,261,2nd,2017-2018
2017-20866,1760,1st,2016-2017
2017-20073,1535,2nd,2017-2018
2017-20221,553,1st,2015-2016
2017-20500,1675,1st,2015-2016
2017-20993,334,1st,2014-2015
2017-20962,616,2nd,2014-2015
2017-20123,733,2nd,2015-2016
2017-20713,853,1st,2016-2017
2017-20650,1347,Sum,2014-2015
2017-20410,623,Sum,2017-2018
2017-20150,1716,2nd,2014-2015
2017-20348,1105,Sum,2016-2017
2017-20116,628,2nd,2016-2017
2017-20087,1420,2nd,2016-2017
2017-20333,1578,2nd,2014-2015
2017-20422,139,Sum,2015-2016
2017-20192,1988,Sum,2016-2017
2017-20782,278,Sum,2017-2018
2017-20153,966,2nd,2017-2018
2017-20420,924,2nd,2014-2015
2017-20265,1205,1st,2017-2018
2017-20094,599,2nd,2015-2016
2017-20827,1867,Sum,2016-2017
2017-20478,1551,2nd,2017-2018
2017-20829,1265,2nd,2014-2015
2017-20090,1542,1st,2017-2018
2017-20019,1018,2nd,2017-2018
2017-20660,1758,2nd,2015-2016
2017-20465,525,1st,2015-2016
2017-20646,1193,1st,2017-2018
2017-20658,1361,1st,2016-2017
2017-20926,122,1st,2016-2017
2017-20875,964,1st,2016-2017
2017-20951,4,Sum,2014-2015
2017-20369,1856,1st,2016-2017
2017-20321,1931,1st,2016-2017
2017-20918,1722,1st,2014-2015
2017-20848,1942,2nd,2017-2018
2017-20861,798,Sum,2015-2016
2017-20067,661,1st,2017-2018
2017-20835,524,Sum,2017-2018
2017-20138,87,Sum,2016-2017
2017-20436,79,Sum,2014-2015
2017-20478,1074,1st,2016-2017
2017-20661,1981,1st,2015-2016
2017-20824,973,Sum,2015-2016
2017-20131,275,1st,2017-2018
2017-20516,1908,2nd,2015-2016
2017-20517,41,Sum,2017-2018
2017-20659,877,1st,2017-2018
2017-20905,1650,1st,2017-2018
2017-20188,175,1st,2016-2017
2017-20442,1941,2nd,2015-2016
2017-20336,550,1st,2015-2016
2017-20988,1178,1st,2014-2015
2017-20263,953,1st,2017-2018
2017-20626,1322,2nd,2017-2018
2017-20156,358,2nd,2017-2018
2017-30194,578,1st,2016-2017
2017-30143,1136,1st,2015-2016
2017-30387,746,2nd,2014-2015
2017-30227,64,1st,2017-2018
2017-30629,1042,1st,2017-2018
2017-30441,1470,Sum,2017-2018
2017-30399,49,Sum,2016-2017
2017-30100,1868,1st,2015-2016
2017-30410,1014,1st,2014-2015
2017-30559,267,2nd,2015-2016
2017-30413,90,2nd,2017-2018
2017-30114,1357,Sum,2016-2017
2017-30964,933,1st,2015-2016
2017-30126,984,2nd,2014-2015
2017-30144,653,Sum,2014-2015
2017-30292,667,1st,2017-2018
2017-30245,637,1st,2015-2016
2017-30545,663,1st,2014-2015
2017-30574,1798,2nd,2015-2016
2017-30569,1881,2nd,2014-2015
2017-30936,147,Sum,2017-2018
2017-30259,1605,2nd,2015-2016
2017-30225,1973,Sum,2016-2017
2017-30688,1075,1st,2017-2018
2017-30970,954,1st,2015-2016
2017-30094,1214,1st,2014-2015
2017-30680,1287,1st,2015-2016
2017-30138,1612,Sum,2016-2017
2017-30860,431,Sum,2014-2015
2017-30945,711,Sum,2015-2016
2017-30171,787,1st,2016-2017
2017-30159,379,Sum,2017-2018
2017-30404,1492,2nd,2015-2016
2017-30186,1083,Sum,2015-2016
2017-30880,356,2nd,2016-2017
2017-30488,1034,Sum,2015-2016
2017-30480,1073,2nd,2014-2015
2017-30462,1824,Sum,2017-2018
2017-30147,1672,Sum,2016-2017
2017-30450,321,2nd,2016-2017
2017-30542,843,Sum,2015-2016
2017-30573,1399,Sum,2017-2018
2017-30460,1663,2nd,2015-2016
2017-30989,156,2nd,2016-2017
2017-30853,693,Sum,2014-2015
2017-30517,729,2nd,2016-2017
2017-30726,1450,Sum,2014-2015
2017-30309,812,1st,2016-2017
2017-30337,649,2nd,2016-2017
2017-30748,1042,1st,2017-2018
2017-30860,664,Sum,2016-2017
2017-30209,1971,Sum,2016-2017
2017-30640,857,2nd,2015-2016
2017-30199,82,Sum,2017-2018
2017-30407,744,2nd,2014-2015
2017-30428,1023,Sum,2015-2016
2017-30087,1127,1st,2014-2015
2017-30472,260,2nd,2016-2017
2017-30560,1414,1st,2016-2017
2017-30855,224,Sum,2017-2018
2017-30499,1155,1st,2015-2016
2017-30703,574,2nd,2016-2017
2017-30479,359,2nd,2014-2015
2017-30027,1852,Sum,2017-2018
2017-30606,1483,2nd,2016-2017
2017-30257,979,2nd,2016-2017
2017-30549,956,Sum,2017-2018
2017-30322,1464,Sum,2014-2015
2017-30104,1335,1st,2016-2017
2017-30238,154,2nd,2017-2018
2017-30034,1393,Sum,2015-2016
2017-30239,1788,Sum,2015-2016
2017-30880,717,1st,2016-2017
2017-30339,1098,Sum,2015-2016
2017-30305,690,Sum,2016-2017
2017-30952,1622,Sum,2015-2016
2017-30086,824,2nd,2015-2016
2017-30498,591,2nd,2017-2018
2017-30844,735,2nd,2016-2017
2017-30814,1296,Sum,2017-2018
2017-30753,1135,2nd,2017-2018
2017-30683,1957,2nd,2015-2016
2017-30175,863,2nd,2016-2017
2017-30509,1368,2nd,2015-2016
2017-30576,1780,1st,2014-2015
2017-30609,1499,1st,2017-2018
2017-30483,715,Sum,2015-2016
2017-30287,1480,1st,2017-2018
2017-30788,1129,2nd,2016-2017
2017-30680,462,2nd,2017-2018
2017-30367,1912,2nd,2014-2015
2017-30812,418,1st,2015-2016
2017-30640,1343,Sum,2015-2016
2017-30279,1025,Sum,2016-2017
2017-30057,1984,1st,2016-2017
2017-30651,94,2nd,2014-2015
2017-30947,934,2nd,2016-2017
2017-30102,684,2nd,2016-2017
2017-30632,299,Sum,2017-2018
2017-30900,559,1st,2015-2016
2017-30555,1771,1st,2016-2017
2017-30639,1581,1st,2015-2016
2017-30678,1379,Sum,2016-2017
2017-30090,74,1st,2016-2017
2017-30520,599,Sum,2016-2017
2017-30235,294,Sum,2017-2018
2017-30004,47,2nd,2015-2016
2017-30841,1136,1st,2015-2016
2017-30396,1544,2nd,2017-2018
2017-30092,833,Sum,2016-2017
2017-30539,356,1st,2016-2017
2017-30780,969,Sum,2017-2018
2017-30905,1780,2nd,2017-2018
2017-30325,1150,Sum,2016-2017
2017-30786,116,1st,2016-2017
2017-30924,668,Sum,2015-2016
2017-30501,610,2nd,2014-2015
2017-30168,1296,Sum,2017-2018
2017-30778,361,Sum,2015-2016
2017-30873,571,1st,2016-2017
2017-30403,1934,2nd,2017-2018
2017-30848,560,2nd,2015-2016
2017-30933,1724,2nd,2017-2018
2017-30298,1246,Sum,2014-2015
2017-30169,1515,Sum,2014-2015
2017-30802,655,1st,2017-2018
2017-30006,819,Sum,2017-2018
2017-30742,778,Sum,2015-2016
2017-30578,1093,Sum,2015-2016
2017-30890,1816,1st,2016-2017
2017-30240,1505,1st,2017-2018
2017-30716,473,Sum,2016-2017
2017-30318,977,2nd,2015-2016
2017-30263,1746,1st,2015-2016
2017-30640,16,2nd,2016-2017
2017-30156,451,Sum,2016-2017
2017-30657,1043,Sum,2014-2015
2017-30756,1648,Sum,2015-2016
2017-30455,840,2nd,2014-2015
2017-30924,330,Sum,2014-2015
2017-30220,1724,Sum,2017-2018
2017-30273,1012,Sum,2017-2018
2017-30188,1816,1st,2017-2018
2017-30399,925,2nd,2016-2017
2017-30987,709,1st,2016-2017
2017-30982,1730,2nd,2016-2017
2017-30501,392,Sum,2014-2015
2017-30844,369,1st,2016-2017
2017-30858,1569,1st,2015-2016
2017-30056,406,2nd,2014-2015
2017-30983,1924,1st,2015-2016
2017-30062,1296,Sum,2016-2017
2017-30552,1661,Sum,2017-2018
2017-30895,5,Sum,2016-2017
2017-30742,621,2nd,2014-2015
2017-30475,1393,Sum,2017-2018
2017-30635,1161,Sum,2014-2015
2017-30675,1107,1st,2017-2018
2017-30199,943,2nd,2016-2017
2017-30461,991,1st,2017-2018
2017-30785,1422,2nd,2014-2015
2017-30301,173,1st,2017-2018
2017-30652,658,Sum,2016-2017
2017-30841,1802,2nd,2017-2018
2017-30523,1507,Sum,2017-2018
2017-30589,1435,2nd,2014-2015
2017-30431,1391,2nd,2015-2016
2017-30495,1902,Sum,2015-2016
2017-30847,1390,Sum,2017-2018
2017-30019,836,1st,2017-2018
2017-30688,797,2nd,2017-2018
2017-30702,1791,Sum,2017-2018
2017-30415,1516,1st,2016-2017
2017-30694,83,2nd,2014-2015
2017-30403,1617,Sum,2017-2018
2017-30381,973,1st,2017-2018
2017-30339,1837,1st,2015-2016
2017-30994,95,1st,2017-2018
2017-30867,1132,2nd,2016-2017
2017-30612,238,1st,2017-2018
2017-30333,1659,1st,2015-2016
2017-30618,61,1st,2015-2016
2017-30059,1494,1st,2014-2015
2017-30347,1143,Sum,2017-2018
2017-30028,114,1st,2017-2018
2017-30933,1882,1st,2016-2017
2017-30256,1261,2nd,2014-2015
2017-30080,1021,1st,2017-2018
2017-30438,1737,1st,2016-2017
2017-30894,899,1st,2017-2018
2017-30382,1965,Sum,2017-2018
2017-30655,1804,2nd,2017-2018
2017-30155,240,2nd,2016-2017
2017-30912,1736,2nd,2017-2018
2017-30023,410,Sum,2015-2016
2017-30669,1281,1st,2017-2018
2017-30420,1560,1st,2015-2016
2017-30313,598,Sum,2016-2017
2017-30493,830,Sum,2017-2018
2017-30612,200,1st,2014-2015
2017-30453,340,1st,2015-2016
2017-30973,1976,Sum,2017-2018
2017-30690,1256,2nd,2017-2018
2017-30978,919,2nd,2016-2017
2017-30230,710,2nd,2016-2017
2017-30636,1097,Sum,2017-2018
2017-30977,469,Sum,2015-2016
2017-30661,1864,Sum,2014-2015
2017-30063,1440,2nd,2014-2015
2017-30245,635,Sum,2015-2016
2017-30625,1542,2nd,2014-2015
2017-30537,797,1st,2017-2018
2017-30219,1048,1st,2014-2015
2017-30509,990,1st,2017-2018
2017-30140,1242,2nd,2014-2015
2017-30075,1805,1st,2014-2015
2017-30547,165,Sum,2015-2016
2017-30159,1963,2nd,2016-2017
2017-30236,109,Sum,2015-2016
2017-30359,1929,1st,2016-2017
2017-30719,1408,1st,2016-2017
2017-30892,1123,2nd,2016-2017
2017-30384,337,2nd,2014-2015
2017-30747,854,1st,2017-2018
2017-30163,1101,1st,2017-2018
2017-30924,679,2nd,2016-2017
2017-30294,593,1st,2014-2015
2017-30368,1757,2nd,2017-2018
2017-30846,436,Sum,2016-2017
2017-30663,1479,2nd,2015-2016
2017-30335,1047,2nd,2017-2018
2017-30505,1536,2nd,2017-2018
2017-30200,737,2nd,2017-2018
2017-30547,1663,2nd,2015-2016
2017-30513,1874,1st,2016-2017
2017-30808,456,2nd,2017-2018
2017-30553,1156,1st,2015-2016
2017-30350,1664,2nd,2014-2015
2017-30082,1135,2nd,2016-2017
2017-30577,1710,1st,2016-2017
2017-30338,1536,Sum,2015-2016
2017-30835,662,2nd,2017-2018
2017-30934,72,Sum,2017-2018
2017-30649,1061,2nd,2015-2016
2017-30083,1279,Sum,2017-2018
2017-30794,137,Sum,2016-2017
2017-30977,1029,1st,2014-2015
2017-30014,1016,Sum,2014-2015
2017-30686,487,2nd,2017-2018
2017-30525,1810,1st,2015-2016
2017-30712,11,Sum,2016-2017
2017-30772,1884,2nd,2016-2017
2017-30991,760,1st,2015-2016
2017-30316,1473,2nd,2016-2017
2017-30543,1807,1st,2017-2018
2017-30689,1093,Sum,2017-2018
2017-30004,1500,1st,2014-2015
2017-30453,1685,Sum,2017-2018
2017-30447,259,2nd,2016-2017
2017-30037,69,1st,2015-2016
2017-30805,822,Sum,2017-2018
2017-30107,851,Sum,2016-2017
2017-30154,1416,Sum,2015-2016
2017-30004,807,1st,2014-2015
2017-30437,696,Sum,2017-2018
2017-30901,506,1st,2015-2016
2017-30540,1681,Sum,2015-2016
2017-30186,282,1st,2016-2017
2017-30561,637,2nd,2016-2017
2017-30639,1907,Sum,2014-2015
2017-30782,1416,Sum,2015-2016
2017-30277,1270,Sum,2017-2018
2017-30796,1558,2nd,2016-2017
2017-30452,1635,Sum,2017-2018
2017-30071,881,2nd,2017-2018
2017-30820,979,2nd,2016-2017
2017-30541,1450,1st,2015-2016
2017-30419,974,2nd,2016-2017
2017-30645,973,1st,2016-2017
2017-30940,439,2nd,2014-2015
2017-30906,737,Sum,2014-2015
2017-30493,1579,2nd,2016-2017
2017-30973,1679,Sum,2016-2017
2017-30394,1634,Sum,2016-2017
2017-30650,253,2nd,2016-2017
2017-30203,679,Sum,2015-2016
2017-30171,875,2nd,2015-2016
2017-30129,1483,Sum,2017-2018
2017-30078,1634,Sum,2016-2017
2017-30813,1980,Sum,2016-2017
2017-30617,595,2nd,2014-2015
2017-30539,1926,Sum,2014-2015
2017-30461,322,2nd,2017-2018
2017-30140,1392,Sum,2014-2015
2017-30631,1085,1st,2017-2018
2017-30205,464,2nd,2014-2015
2017-30594,1142,Sum,2015-2016
2017-30723,395,Sum,2014-2015
2017-30742,1866,2nd,2016-2017
2017-30443,1571,1st,2014-2015
2017-30581,984,Sum,2014-2015
2017-30181,816,1st,2015-2016
2017-30090,1586,2nd,2015-2016
2017-30101,1151,1st,2016-2017
